sample_id,population,percentage,condition,treatment,sample_type,response
sample00000,b_cell,11.7,melanoma,miraclib,PBMC,no
sample00000,cd4_t_cell,21.98,melanoma,miraclib,PBMC,no
sample00000,cd8_t_cell,26.22,melanoma,miraclib,PBMC,no
sample00000,monocyte,25.22,melanoma,miraclib,PBMC,no
sample00000,nk_cell,14.87,melanoma,miraclib,PBMC,no
sample00001,b_cell,6.72,melanoma,miraclib,PBMC,no
sample00001,cd4_t_cell,33.19,melanoma,miraclib,PBMC,no
sample00001,cd8_t_cell,19.25,melanoma,miraclib,PBMC,no
sample00001,monocyte,22.82,melanoma,miraclib,PBMC,no
sample00001,nk_cell,18.02,melanoma,miraclib,PBMC,no
sample00002,b_cell,10.55,melanoma,miraclib,PBMC,no
sample00002,cd4_t_cell,26.15,melanoma,miraclib,PBMC,no
sample00002,cd8_t_cell,24.71,melanoma,miraclib,PBMC,no
sample00002,monocyte,19.75,melanoma,miraclib,PBMC,no
sample00002,nk_cell,18.83,melanoma,miraclib,PBMC,no
sample00006,b_cell,5.91,melanoma,miraclib,PBMC,no
sample00006,cd4_t_cell,28.38,melanoma,miraclib,PBMC,no
sample00006,cd8_t_cell,31.37,melanoma,miraclib,PBMC,no
sample00006,monocyte,21.65,melanoma,miraclib,PBMC,no
sample00006,nk_cell,12.68,melanoma,miraclib,PBMC,no
sample00007,b_cell,10.57,melanoma,miraclib,PBMC,no
sample00007,cd4_t_cell,34.41,melanoma,miraclib,PBMC,no
sample00007,cd8_t_cell,13.72,melanoma,miraclib,PBMC,no
sample00007,monocyte,18.32,melanoma,miraclib,PBMC,no
sample00007,nk_cell,22.98,melanoma,miraclib,PBMC,no
sample00008,b_cell,9.77,melanoma,miraclib,PBMC,no
sample00008,cd4_t_cell,23.58,melanoma,miraclib,PBMC,no
sample00008,cd8_t_cell,29.01,melanoma,miraclib,PBMC,no
sample00008,monocyte,18.13,melanoma,miraclib,PBMC,no
sample00008,nk_cell,19.51,melanoma,miraclib,PBMC,no
